Time,T_ctrl,T_stp_cool,T_stp_heat,Humidity,auxHeat1,fan,T_out,Kids' Room Temperature,Office Temperature,Master Suite Temperature,Thermostat Temperature,Kids' Room Motion,Thermostat Motion,Office Motion,Master Suite Motion
2016-01-01 0:00,71.4,74,72,33,300,300,32.9,71.7,71.9,71.2,71.8,0,0,1,1
2016-01-01 0:05,71.5,74,72,33,300,300,32.9,71.8,72.1,71.2,72,0,0,1,0
2016-01-01 0:10,71.7,74,72,33,270,300,32.9,71.9,72.5,71.5,72,0,0,0,0
2016-01-01 0:15,71.8,74,72,33,0,15,32.9,72,72.7,71.7,72.2,0,0,0,0
2016-01-01 0:20,71.9,74,72,32,0,0,32.9,72.1,73,71.8,72.3,0,0,0,0
2016-01-01 0:25,71.7,74,72,32,0,0,32.9,72.1,73.2,71.6,72.1,0,0,0,0
2016-01-01 0:30,71.6,74,72,32,45,45,33.1,71.9,73.1,71.4,71.9,0,0,0,0
2016-01-01 0:35,71.4,74,72,34,300,300,33.1,71.7,72.8,71.3,71.5,0,0,0,0
2016-01-01 0:40,71.3,74,72,34,300,300,33.1,71.5,72.9,71.2,71.4,0,0,0,0
2016-01-01 0:45,71.5,74,72,34,300,300,33.1,71.7,73.1,71.4,71.6,0,0,0,0
2016-01-01 0:50,71.7,74,72,33,270,300,33.1,71.9,73.2,71.5,71.6,0,0,0,0
2016-01-01 0:55,71.8,74,72,32,0,15,33.1,72,73.3,71.7,71.8,0,0,0,0
2016-01-01 1:00,71.9,74,72,32,0,0,32.9,72.1,73.4,71.8,71.9,0,0,0,0
2016-01-01 1:05,71.8,74,72,32,0,0,32.9,72,73.4,71.6,71.7,0,0,0,0
2016-01-01 1:10,71.6,74,72,33,0,0,32.9,71.9,73.4,71.4,71.4,0,0,0,0
2016-01-01 1:15,71.5,74,72,34,90,90,32.9,71.8,73.2,71.3,71.2,0,0,0,0
2016-01-01 1:20,71.3,74,72,33,300,300,32.9,71.6,73,71.1,70.9,0,0,0,0
2016-01-01 1:25,71.2,74,72,33,300,300,32.9,71.5,73,71,71,0,0,0,0
2016-01-01 1:30,71.3,74,72,32,300,300,33.4,71.5,73.4,71.2,71.1,0,0,0,0
2016-01-01 1:35,71.5,74,72,32,300,300,33.4,71.7,73.4,71.4,71.2,0,0,0,0
2016-01-01 1:40,71.7,74,72,32,210,255,33.4,71.9,73.5,71.6,71.3,0,0,0,0
2016-01-01 1:45,72,74,72,33,0,0,33.4,72.1,73.8,71.9,71.3,0,0,0,0
2016-01-01 1:50,72.1,74,72,32,0,0,33.4,72.2,74,72,71.3,0,0,0,0
2016-01-01 1:55,71.9,74,72,32,0,0,33.4,72,73.8,71.7,71,0,0,0,0
2016-01-01 2:00,71.6,74,72,32,30,30,33.1,71.8,73.7,71.4,70.9,0,0,0,0
2016-01-01 2:05,71.4,74,72,32,300,300,33.1,71.6,73.5,71.3,70.7,0,0,0,0
2016-01-01 2:10,71.3,74,72,33,300,300,33.1,71.5,73.5,71.2,70.6,0,0,0,0
2016-01-01 2:15,71.4,74,72,33,300,300,33.1,71.7,73.6,71.3,70.8,0,0,0,0
2016-01-01 2:20,71.7,74,72,33,300,300,33.1,71.9,73.7,71.5,70.9,0,0,0,0
2016-01-01 2:25,71.7,74,72,33,195,240,33.1,71.9,73.8,71.6,71.2,0,0,0,0
2016-01-01 2:30,72,74,72,32,0,0,33.1,72,74.2,71.9,71.4,0,0,0,0
2016-01-01 2:35,72.1,74,72,32,0,0,33.1,72.2,74.3,72,71.5,0,0,0,0
2016-01-01 2:40,71.8,74,72,32,0,0,33.1,71.9,74.1,71.7,71.3,0,0,0,0
2016-01-01 2:45,71.6,74,72,32,0,0,33.1,71.9,74,71.4,71.1,0,0,0,0
2016-01-01 2:50,71.4,74,72,32,255,255,33.1,71.7,73.8,71.3,70.8,0,0,0,0
2016-01-01 2:55,71.3,74,72,32,300,300,33.1,71.5,73.7,71.2,70.6,0,0,0,0
2016-01-01 3:00,71.3,74,72,32,300,300,33.1,71.5,73.9,71.2,70.8,0,0,0,0
2016-01-01 3:05,71.5,74,72,33,300,300,33.1,71.6,74.1,71.4,70.8,0,0,0,0
2016-01-01 3:10,71.7,74,72,33,180,225,33.1,71.8,74.1,71.5,70.9,0,0,0,0
2016-01-01 3:15,71.8,74,72,32,0,0,33.1,71.9,74.3,71.7,71.2,0,0,0,0
2016-01-01 3:20,71.8,74,72,32,0,0,33.1,71.9,74.4,71.8,71.2,0,0,0,0
2016-01-01 3:25,71.7,74,72,32,0,0,33.1,71.9,74.2,71.6,71,0,0,0,0
2016-01-01 3:30,71.5,74,72,32,120,120,33.2,71.7,74.1,71.3,70.8,0,0,0,0
2016-01-01 3:35,71.3,74,72,32,300,300,33.2,71.5,73.9,71.1,70.4,0,0,0,0
2016-01-01 3:40,71.2,74,72,32,300,300,33.2,71.5,74,71.1,70.5,0,0,0,0
2016-01-01 3:45,71.4,74,72,32,300,300,33.2,71.6,74.2,71.3,70.7,0,0,0,0
2016-01-01 3:50,71.6,74,72,32,300,300,33.2,71.7,74.3,71.4,70.8,0,0,0,0
2016-01-01 3:55,71.7,74,72,32,135,180,33.2,71.9,74.4,71.6,71.1,0,0,0,0
2016-01-01 4:00,71.8,74,72,32,0,0,33.1,71.9,74.5,71.8,71.3,0,0,0,0
2016-01-01 4:05,71.9,74,72,32,0,0,33.1,72,74.6,71.9,71.3,0,0,0,0
2016-01-01 4:10,71.8,74,72,32,0,0,33.1,71.9,74.5,71.7,71.1,0,0,0,0
2016-01-01 4:15,71.6,74,72,32,90,90,33.1,71.8,74.4,71.4,70.9,0,0,0,0
2016-01-01 4:20,71.4,74,72,32,300,300,33.1,71.6,74.3,71.2,70.6,0,0,0,0
2016-01-01 4:25,71.3,74,72,32,300,300,33.1,71.5,74.3,71.2,70.6,0,0,0,0
2016-01-01 4:30,71.3,74,72,32,300,300,32.4,71.5,74.5,71.3,70.7,0,0,0,0
2016-01-01 4:35,71.5,74,72,32,300,300,32.4,71.7,74.5,71.4,70.8,0,0,0,0
2016-01-01 4:40,71.7,74,72,32,105,150,32.4,71.9,74.6,71.6,71.1,0,0,0,0
2016-01-01 4:45,71.8,74,72,31,0,0,32.4,71.9,74.8,71.8,71.2,0,0,0,0
2016-01-01 4:50,71.8,74,72,31,0,0,32.4,71.9,74.8,71.7,71.2,0,0,0,0
2016-01-01 4:55,71.7,74,72,32,0,0,32.4,71.9,74.7,71.5,70.9,0,0,0,0
2016-01-01 5:00,71.5,74,72,32,225,225,32.2,71.7,74.5,71.4,70.7,0,0,0,0
2016-01-01 5:05,71.3,74,72,32,300,300,32.2,71.5,74.5,71.2,70.4,0,0,0,0
2016-01-01 5:10,71.3,74,72,32,300,300,32.2,71.5,74.5,71.2,70.7,0,0,0,0
2016-01-01 5:15,71.4,74,72,32,300,300,32.2,71.6,74.6,71.3,70.8,0,0,0,0
2016-01-01 5:20,71.5,74,72,32,300,300,32.2,71.7,74.7,71.4,70.9,0,0,0,0
2016-01-01 5:25,71.8,74,72,31,60,105,32.2,71.8,74.8,71.8,71.2,0,0,0,0
2016-01-01 5:30,72,74,72,31,0,0,32.2,72,75.1,71.9,71.3,0,0,0,0
2016-01-01 5:35,72.1,74,72,32,0,0,32.2,71.9,75,71.9,71.2,0,0,0,0
2016-01-01 5:40,72,74,72,32,0,0,32.2,71.9,74.8,71.5,70.9,0,0,0,0
2016-01-01 5:45,71.9,74,72,32,0,0,32.2,71.7,74.8,71.4,70.7,0,0,0,0
2016-01-01 5:50,71.8,74,72,33,0,0,32.2,71.5,74.5,71.2,70.4,0,0,0,0
2016-01-01 5:55,71.7,74,72,32,0,0,32.2,71.4,74.5,71,70.2,0,0,0,0
2016-01-01 6:00,71.6,72,72,31,60,60,32.1,71.2,74.4,70.8,70,0,0,0,0
2016-01-01 6:05,71.3,72,72,32,300,300,32.1,71,74.2,70.6,69.7,0,0,0,0
2016-01-01 6:10,71.3,72,72,31,300,300,32.1,71,74.1,70.5,69.7,0,0,0,0
2016-01-01 6:15,71.4,72,72,31,300,300,32.1,71.1,74.3,70.5,69.9,0,0,0,0
2016-01-01 6:20,71.5,72,72,32,300,300,32.1,71.3,74.5,70.5,70,0,0,0,0
2016-01-01 6:25,71.7,72,72,32,180,225,32.1,71.4,74.6,70.6,70.3,0,1,0,0
2016-01-01 6:30,71.7,72,72,32,0,0,32.1,71.6,74.8,70.5,70.6,0,1,0,0
2016-01-01 6:35,71.7,72,72,33,0,0,32.1,71.7,74.8,70.5,70.8,0,1,0,0
2016-01-01 6:40,71.6,72,72,32,45,45,32.1,71.7,74.8,70.4,70.6,0,1,0,0
2016-01-01 6:45,71.2,72,72,31,300,300,32.1,71.7,74.6,70.2,70.4,0,0,0,0
2016-01-01 6:50,70.9,72,72,31,300,300,32.1,71.7,74.6,70.1,70.4,0,0,0,0
2016-01-01 6:55,70.6,72,72,31,300,300,32.1,71.7,74.7,70.1,70.5,0,0,0,0
2016-01-01 7:00,70.5,72,72,31,300,300,32.1,71.7,74.9,70.3,70.5,0,1,0,0
2016-01-01 7:05,70.7,72,72,31,300,300,32.1,71.9,75.1,70.5,70.6,0,1,1,0
2016-01-01 7:10,71.6,72,72,31,210,255,32.1,71.9,75.2,70.5,70.9,0,1,1,0
2016-01-01 7:15,72.3,72,72,31,0,0,32.1,72.1,75.5,70.5,71.2,0,1,0,0
2016-01-01 7:20,72.8,72,72,31,0,0,32.1,72.2,75.6,70.5,71.3,0,1,0,0
2016-01-01 7:25,72.8,72,72,31,0,0,32.1,72,75.2,70.5,71.1,0,0,0,1
2016-01-01 7:30,72.6,72,72,31,0,0,31.7,71.9,75,70.5,70.9,0,0,0,1
2016-01-01 7:35,72.4,72,72,31,0,0,31.7,71.6,74.8,70.5,70.7,1,1,1,1
2016-01-01 7:40,72.1,72,72,31,0,0,31.7,71.5,74.7,70.5,70.6,1,1,1,1
2016-01-01 7:45,71.9,72,72,31,0,0,31.7,71.5,74.5,70.4,70.5,1,1,1,1
2016-01-01 7:50,71.7,72,72,32,60,60,31.7,71.5,74.4,70.1,70.4,1,1,1,1
2016-01-01 7:55,71.3,72,72,31,300,300,31.7,71.3,74,69.8,70.2,1,0,1,1
2016-01-01 8:00,71.2,72,72,32,300,300,31.6,71.2,73.9,69.7,70.1,1,1,0,0
2016-01-01 8:05,71.2,72,72,32,300,300,31.6,71.2,73.9,69.8,70.3,1,1,0,0
2016-01-01 8:10,71.4,72,72,32,300,300,31.6,71.3,73.9,70.1,70.4,1,0,0,0
2016-01-01 8:15,71.5,72,72,31,300,300,31.6,71.6,73.9,70.3,70.7,0,0,0,0
2016-01-01 8:20,71.8,72,72,31,150,195,31.6,71.9,74,70.4,71,0,0,0,0
2016-01-01 8:25,72,72,72,31,0,0,31.6,72.2,74.1,70.6,71.3,0,1,0,0
2016-01-01 8:30,71.9,72,72,31,0,0,31.3,72.1,73.9,70.6,71.4,0,1,0,0
2016-01-01 8:35,71.7,72,72,33,0,0,31.3,72.1,73.6,70.5,71.1,0,1,0,1
2016-01-01 8:40,71.4,72,72,33,195,195,31.3,71.8,73.4,70.5,70.8,0,1,0,1
2016-01-01 8:45,71,72,72,33,300,300,31.3,71.5,73,70.5,70.5,0,1,0,0
2016-01-01 8:50,71,72,72,33,300,300,31.3,71.6,73.1,70.6,70.6,0,1,0,0
2016-01-01 8:55,71,72,72,34,300,300,31.3,71.8,73.3,70.9,70.6,0,1,0,0
2016-01-01 9:00,71.2,72,72,33,300,300,32.5,71.9,73.4,71.2,71,0,1,1,0
2016-01-01 9:05,71.6,72,72,34,240,285,32.5,72,73.4,71.5,71.4,0,1,1,0
2016-01-01 9:10,72.1,72,72,34,0,0,32.5,72.3,73.8,71.7,71.9,0,1,0,0
2016-01-01 9:15,72.4,72,72,33,0,0,32.5,72.4,73.8,71.8,72.1,0,1,1,1
2016-01-01 9:20,72.3,72,72,33,0,0,32.5,72.3,73.6,71.6,72,0,1,1,1
2016-01-01 9:25,72.2,72,72,33,0,0,32.5,72.2,73.5,71.5,71.9,0,1,1,1
2016-01-01 9:30,72.1,72,72,34,0,0,32.9,71.8,73.4,71.4,71.7,0,1,1,1
2016-01-01 9:35,72,72,72,34,0,0,32.9,71.6,73.3,71.3,71.4,0,1,1,1
2016-01-01 9:40,71.8,72,72,34,0,0,32.9,71.5,73.1,71.1,71.4,0,1,1,0
2016-01-01 9:45,71.7,72,72,33,0,0,32.9,71.4,72.9,71,71.3,0,1,0,0
2016-01-01 9:50,71.5,72,72,32,60,60,32.9,71.2,72.7,70.9,71.2,0,1,0,0
2016-01-01 9:55,71.4,72,72,33,300,300,32.9,71.1,72.6,70.8,70.9,0,1,0,0
2016-01-01 10:00,71.4,72,72,33,300,300,33.5,71,72.6,70.8,70.8,0,1,0,0
2016-01-01 10:05,71.5,72,72,33,300,300,33.5,71.2,72.8,71,71,0,1,0,0
2016-01-01 10:10,71.8,72,72,35,30,75,33.5,71.4,73,71.2,71.4,0,1,0,0
2016-01-01 10:15,72.1,72,72,33,0,0,33.5,71.4,73.1,71.4,72,0,1,0,0
2016-01-01 10:20,72.1,72,72,33,0,0,33.5,71.4,73,71.4,72,0,1,0,0
2016-01-01 10:25,71.9,72,72,33,0,0,33.5,71.2,72.8,71.3,71.8,0,1,0,0
2016-01-01 10:30,71.8,72,72,34,0,0,34.8,71.2,72.6,71.2,71.8,0,1,0,0
2016-01-01 10:35,71.9,72,72,33,0,0,34.8,71,72.5,71.1,71.9,0,1,0,0
2016-01-01 10:40,71.8,72,72,33,0,0,34.8,70.9,72.5,71,71.8,1,1,0,0
2016-01-01 10:45,71.6,72,72,34,0,0,34.8,70.7,72.5,71,71.8,1,1,1,0
2016-01-01 10:50,71.6,72,72,34,0,0,34.8,70.6,72.3,71,71.8,1,1,1,0
2016-01-01 10:55,71.6,72,72,35,0,0,34.8,70.6,72.3,70.9,71.9,1,1,0,0
2016-01-01 11:00,71.4,72,72,35,240,240,35.5,70.6,72.1,70.8,71.6,1,1,0,0
2016-01-01 11:05,71.3,72,72,35,300,300,35.5,70.5,72.1,70.8,71.4,0,1,0,0
2016-01-01 11:10,71.6,72,72,34,300,300,35.5,70.7,72.4,71.1,71.7,0,1,0,0
2016-01-01 11:15,71.8,72,72,33,90,135,35.5,70.8,72.6,71.4,72.2,0,1,0,0
2016-01-01 11:20,72.1,72,72,32,0,0,35.5,70.8,73,71.7,72.7,0,1,0,0
2016-01-01 11:25,72.2,72,72,32,0,0,35.5,71.1,73,71.7,72.9,0,1,0,0
2016-01-01 11:30,72.1,72,72,33,0,0,35.8,71,72.9,71.5,72.8,0,1,0,0
2016-01-01 11:35,72,72,72,33,0,0,35.8,71,72.7,71.5,72.6,0,1,1,0
2016-01-01 11:40,72,72,72,33,0,0,35.8,71,72.6,71.4,72.4,0,1,1,0
2016-01-01 11:45,72.1,72,72,32,0,0,35.8,70.8,72.5,71.3,72.5,0,1,0,0
2016-01-01 11:50,72.2,72,72,32,0,0,35.8,70.6,72.4,71.2,72.5,0,1,1,0
2016-01-01 11:55,72.2,72,72,33,0,0,35.8,70.6,72.3,71.2,72.5,0,1,1,0
2016-01-01 12:00,72.2,72,72,33,0,0,37,70.6,72.3,71.2,72.1,0,1,1,0
2016-01-01 12:05,72.2,72,72,33,0,0,37,70.6,72.5,71.2,71.9,0,1,0,0
2016-01-01 12:10,72.1,72,72,34,0,0,37,70.6,72.5,71.2,71.8,0,1,0,0
2016-01-01 12:15,72,72,72,33,0,0,37,70.4,72.5,71.2,71.7,0,1,1,0
2016-01-01 12:20,72,72,72,34,0,0,37,70.3,72.5,71.1,71.5,0,1,1,0
2016-01-01 12:25,72,72,72,33,0,0,37,70.3,72.5,71,71.6,0,1,1,0
2016-01-01 12:30,72.2,72,72,33,0,0,36.6,70.2,72.6,71,71.8,0,1,0,0
2016-01-01 12:35,72.3,72,72,32,0,0,36.6,70.1,72.6,71,72.1,0,1,1,0
2016-01-01 12:40,72.3,72,72,32,0,0,36.6,70.1,72.6,71,72.1,0,1,1,0
2016-01-01 12:45,72.2,72,72,33,0,0,36.6,70.1,72.6,70.9,71.9,0,1,1,0
2016-01-01 12:50,72.2,72,72,33,0,0,36.6,70.1,72.6,70.8,71.8,0,1,1,0
2016-01-01 12:55,72.1,72,72,33,0,0,36.6,70,72.6,70.8,71.7,0,1,1,0
2016-01-01 13:00,72.1,72,72,32,0,0,36.7,69.9,72.5,71,71.7,0,1,0,0
2016-01-01 13:05,72.1,72,72,32,0,0,36.7,69.9,72.5,71,71.8,0,1,0,0
2016-01-01 13:10,72.1,72,72,33,0,0,36.7,69.9,72.5,70.9,71.8,0,1,0,0
2016-01-01 13:15,72,72,72,33,0,0,36.7,69.9,72.5,70.8,71.7,0,1,1,0
2016-01-01 13:20,72,72,72,33,0,0,36.7,69.9,72.5,70.8,71.5,0,1,1,0
2016-01-01 13:25,72,72,72,34,0,0,36.7,69.9,72.5,71,71.5,0,1,1,0
2016-01-01 13:30,71.9,72,72,35,0,0,37.4,69.9,72.5,70.9,71.4,0,1,1,0
2016-01-01 13:35,71.8,72,72,34,0,0,37.4,69.9,72.4,70.8,71.4,0,1,0,0
2016-01-01 13:40,71.8,72,72,34,0,0,37.4,69.9,72.3,70.8,71.4,0,1,0,0
2016-01-01 13:45,71.8,72,72,33,0,0,37.4,69.9,72.3,70.8,71.4,0,1,1,0
2016-01-01 13:50,71.9,72,72,33,0,0,37.4,69.9,72.3,70.8,71.6,0,1,1,1
2016-01-01 13:55,71.9,72,72,33,0,0,37.4,69.9,72.3,70.8,71.7,0,1,0,1
2016-01-01 14:00,71.8,72,72,33,0,0,36.6,69.9,72.3,70.8,71.8,0,1,1,0
2016-01-01 14:05,71.7,72,72,33,0,0,36.6,69.9,72.3,70.8,71.7,0,1,1,0
2016-01-01 14:10,71.7,72,72,34,0,0,36.6,69.9,72.3,70.8,71.7,0,1,1,1
2016-01-01 14:15,71.5,72,72,35,150,150,36.6,69.9,72.1,71,71.5,0,1,0,1
2016-01-01 14:20,71.3,72,72,38,300,300,36.6,69.9,71.9,70.9,71.1,0,1,0,1
2016-01-01 14:25,71.4,72,72,37,300,300,36.6,69.9,72.1,70.9,71.4,0,1,1,1
2016-01-01 14:30,71.6,72,72,38,255,300,37.3,70.3,72.3,71.2,71.4,0,1,1,1
2016-01-01 14:35,71.8,72,72,38,0,0,37.3,70.5,72.5,71.6,71.6,1,1,1,1
2016-01-01 14:40,72,72,72,38,0,0,37.3,70.8,72.6,71.9,71.9,1,1,1,0
2016-01-01 14:45,71.9,72,72,38,0,0,37.3,70.8,72.6,71.8,71.8,1,1,1,0
2016-01-01 14:50,71.8,72,72,38,0,0,37.3,70.8,72.5,71.7,71.8,0,1,1,0
2016-01-01 14:55,71.6,73.5,70.8,36,60,90,37.3,70.7,72.4,71.6,71.5,0,1,0,0
2016-01-01 15:00,71.3,82,64,34,0,0,37.3,70.6,72.2,71.5,71.2,0,0,0,0
2016-01-01 15:05,71.2,82,64,34,0,0,37.3,70.6,72,71.4,71.3,0,0,0,0
2016-01-01 15:10,71.3,82,64,34,0,0,37.3,70.6,71.9,71.4,71.4,0,0,0,0
2016-01-01 15:15,71.3,82,64,34,0,0,37.3,70.5,71.9,71.3,71.5,0,0,0,0
2016-01-01 15:20,71.2,82,64,34,0,0,37.3,70.5,71.7,71.2,71.5,0,0,0,0
2016-01-01 15:25,71.2,82,64,34,0,0,37.3,70.5,71.5,71.2,71.5,0,0,0,0
2016-01-01 15:30,71.1,82,64,34,0,0,37.3,70.5,71.5,71.2,71.3,0,0,0,0
2016-01-01 15:35,71,82,64,34,0,0,37.3,70.5,71.4,71,71.3,0,0,0,0
2016-01-01 15:40,70.9,82,64,34,0,0,37.3,70.5,71.2,70.8,71.1,0,0,0,0
